NC_c,NC_1,NC_3,NC_5,UN_c,UN_1,UN_3,UN_5,pop_c,pop_1,pop_3,pop_5,lat,lng
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,62.50089342176028,55.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,382,0.0,0.0,0.0,62.50089342176029,56.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,285,0.0,0.0,0.0,62.50089342176029,57.500000000000014
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1346,0.0,0.0,0.0,62.50089342176029,58.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,797,0.0,0.0,0.0,62.50089342176029,59.499999999999986
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,81,0.0,0.0,0.0,61.50091471046548,36.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4849,0.0,0.0,0.0,61.50091471046546,37.49999999999998
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,61.50091471046546,52.49999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,795,0.0,0.0,0.0,61.50091471046548,53.49999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2485,0.0,0.0,0.0,61.50091471046548,54.50000000000001
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4662,0.0,0.0,0.0,61.50091471046546,55.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7109,0.0,0.0,0.0,61.50091471046548,56.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8726,0.0,0.0,0.0,61.50091471046548,57.49999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9515,0.0,0.0,0.0,61.50091471046548,58.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5309,0.0,0.0,0.0,61.50091471046548,59.499999999999986
0.922539237534333,0.9232133768666834,0.922854993180371,0.9230713201041769,114366.1875,119301.4375,121097.1015625,120417.828125,14052,8378.0,11725.0,9200.0,60.5009348847715,34.49999999999999
0.9679807795380808,0.9646736667744988,0.966406502984406,0.966784070693233,79378.9375,92138.8046875,86831.4296875,85177.8828125,10800,6474.0,9086.0,7197.0,60.5009348847715,35.5
0.991484976443302,0.9909551055567632,0.9909689539806417,0.9909929087172613,24809.8984375,27129.41015625,26911.6953125,26575.857421875,17020,10167.0,14271.0,11080.0,60.5009348847715,36.5
0.9991689322829644,0.999028500792407,0.9991035552880636,0.9991410786915083,2092.191162109375,2508.282958984375,2302.869873046875,2160.947021484375,14423,8624.0,12022.0,9384.0,60.5009348847715,37.49999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,498,0.0,0.0,0.0,60.5009348847715,38.49999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,60.5009348847715,47.500000000000014
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,648,0.0,0.0,0.0,60.5009348847715,50.50000000000001
0.9999834924677102,0.9999836160161528,0.9999834756703339,0.999983474873801,7.395208358764648,7.643807888031006,7.764133930206299,7.853241920471191,1376,864.0,1181.0,984.0,60.5009348847715,51.50000000000001
0.9987635650729857,0.99877632767722,0.9987717904390407,0.9987743263762716,3258.76953125,3408.736572265625,3455.16259765625,3488.87353515625,17449,10914.0,14390.0,11286.0,60.50093488477149,52.5
0.991585943625295,0.9916256243983289,0.9916190952259106,0.9916139763107966,29471.92578125,31412.375,31713.86328125,32115.5859375,23797,14767.0,19640.0,15304.0,60.50093488477149,53.49999999999999
0.9950180257229578,0.9950482852160657,0.9950500338900565,0.9950451629359435,18539.814453125,19397.71875,19513.5546875,19801.671875,25480,15961.0,20961.0,16344.0,60.50093488477149,54.50000000000001
0.9925905656826387,0.9924903804838725,0.9924924024351058,0.9924872467568473,28070.59375,31133.712890625,31402.052734375,31877.314453125,18427,11228.0,15450.0,12032.0,60.50093488477149,55.500000000000014
0.9745020819494358,0.9743090098331144,0.9744486745694836,0.974340980519049,99224.765625,107319.96875,107879.765625,109085.0234375,12613,7555.0,10696.0,8449.0,60.5009348847715,56.50000000000001
0.9600197405863756,0.9599993319387727,0.9604181522996067,0.9601167731109073,159199.84375,169298.6875,171265.09375,173261.3125,15738,9592.0,13496.0,10694.0,60.50093488477149,57.49999999999999
0.942220866136403,0.9425817985208538,0.9424824795940233,0.9422962977092253,236896.5,241252.9375,250966.484375,250710.84375,19980,12038.0,16789.0,13291.0,60.5009348847715,58.5
0.8927659606875035,0.8936558866587949,0.8934888033702814,0.8932750661172745,291296.09375,297750.96875,310316.75,309851.21875,18087,10929.0,15171.0,11959.0,60.50093488477149,59.5
0.9931752027845367,0.9891179539309681,0.989007107795046,0.988947756550553,564.556396484375,915.0787353515625,926.1712646484375,932.25,6,4.0,6.0,4.0,60.5009348847715,83.49999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,60.5009348847715,84.5
0.9332610613722861,0.9326635812179696,0.9322035856525063,0.9324370369928847,21183.005859375,21709.97265625,22211.45703125,21961.55859375,102,68.0,100.0,68.0,60.5009348847715,89.5
0.9188929885868518,0.9180742685097181,0.9178555044049292,0.9179308599041651,77976.453125,80271.34375,82712.2578125,81983.5625,413,277.0,411.0,278.0,60.5009348847715,90.5
0.9348904065359497,0.9348398480503343,0.9346923552628722,0.9347950974339282,94299.0625,95523.40625,99255.015625,98484.34375,544,362.0,544.0,362.0,60.5009348847715,91.5
0.9682956746602815,0.9680367576318678,0.9669680038234674,0.9671495928385493,4024.39794921875,4064.693115234375,4232.7060546875,4203.94873046875,8,5.0,8.0,5.0,60.50093488477149,92.49999999999997
0.9803245179708279,0.9802837216749202,0.980198614017814,0.9802697043514675,18558.30078125,18783.26953125,19520.3671875,19346.455078125,325,217.0,325.0,217.0,60.5009348847715,93.49999999999999
0.9964938385091061,0.9964899989099868,0.9964697464635794,0.9964741753622914,2009.8779296875,2033.3458251953125,2101.797119140625,2094.51171875,199,132.0,197.0,132.0,60.5009348847715,94.5
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,60.5009348847715,99.5
